categorical_1,categorical_2,categorical_3,categorical_4,categorical_5,categorical_6,categorical_7,categorical_8,categorical_9,categorical_10,categorical_11,categorical_12,risk_level,categorical_13,categorical_14,categorical_15,categorical_16,categorical_17,ln(1 + amount),categorical_18,categorical_19,categorical_20,categorical_21,categorical_22,categorical_23,categorical_24,categorical_25,categorical_26,month,categorical_27,fraud_label
0,326,10,0,1,1,5,71,1,0,0,1,1.0,3,4,0,2,0,5.555,0,0,9,20,0,2,8,52,24,2,94,0
0,281,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,8,3,1.896,0,1,9,32,0,18,43,17,21,4,79,0
0,301,7,1,3,0,6,139,0,1,0,0,100.0,2,4,0,1,1,6.516,0,0,31,32,0,12,28,38,15,6,117,0
3,279,6,0,0,1,5,139,0,0,0,0,100.0,3,4,0,8,3,5.395,0,0,31,32,0,10,1,20,25,9,34,0
2,293,7,5,2,0,6,138,0,1,5,0,1.0,3,0,0,6,1,3.355,0,0,31,32,1,5,33,14,22,4,79,0
0,15,7,5,2,2,6,79,0,1,5,0,1.0,3,0,1,6,1,2.324,0,0,31,32,1,22,23,36,20,7,79,0
3,264,6,0,0,2,5,6,0,0,0,1,1.0,3,4,0,8,3,3.322,0,1,9,32,1,21,58,46,22,11,34,0
0,264,7,5,2,0,0,138,0,1,5,0,100.0,3,1,0,6,1,1.644,0,0,31,32,1,9,40,34,0,9,79,0
3,279,6,0,0,1,3,139,0,0,0,0,69.0,3,4,0,8,3,2.018,0,1,9,32,0,16,50,21,29,9,79,0
0,250,6,0,0,1,3,25,0,0,0,0,1.0,3,4,0,2,3,3.326,0,1,9,14,0,17,19,47,29,3,94,0
0,250,6,0,0,1,5,25,0,0,0,0,54.0,3,4,0,2,3,3.092,3,1,9,18,0,16,6,18,23,4,117,0
0,264,2,0,0,2,0,139,0,0,0,0,0.0,3,4,0,2,3,5.15,0,0,9,18,0,18,40,58,23,10,34,0
0,325,7,0,0,2,6,139,0,0,0,0,1.0,3,4,1,1,3,3.895,0,0,31,32,2,6,16,32,3,1,94,0
3,251,6,0,0,1,5,139,0,0,2,1,100.0,3,4,0,8,3,0.695,0,1,9,32,0,6,37,39,0,9,117,0
0,250,2,0,0,1,8,139,0,0,0,0,64.0,3,4,0,2,3,3.07,1,1,9,18,0,13,57,28,22,5,94,0
0,264,6,0,0,1,8,8,0,0,0,0,100.0,3,4,0,2,3,4.797,3,1,9,21,0,4,41,56,13,1,79,0
0,277,7,5,2,0,6,17,0,1,5,0,13.0,3,2,0,6,1,3.393,0,0,31,32,1,11,21,36,25,5,35,0
3,251,7,5,2,2,0,139,0,1,5,0,23.0,3,2,0,6,1,6.562,0,0,31,32,1,10,44,9,18,7,34,0
0,229,6,0,0,1,8,125,0,0,0,0,60.0,3,4,1,2,3,2.166,0,1,9,10,0,17,41,37,3,4,79,0
0,279,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,2,3,2.447,0,1,9,18,0,12,38,52,19,6,79,0
0,327,7,4,0,0,0,139,0,1,0,0,1.0,3,0,0,1,1,2.748,0,0,31,32,0,0,28,28,16,8,94,0
0,281,9,0,0,2,3,25,0,0,0,0,1.0,3,4,0,3,3,2.193,0,0,9,14,0,9,32,34,15,5,94,0
0,240,2,0,0,1,8,135,0,0,0,0,1.0,3,4,0,8,3,2.158,0,1,1,32,0,5,48,46,18,7,79,0
3,192,7,5,2,2,6,138,0,1,5,0,100.0,3,0,0,6,1,6.664,0,0,31,32,1,14,12,12,24,11,35,0
0,333,6,0,0,1,3,77,0,0,0,0,17.0,3,4,0,2,3,4.105,3,0,9,21,0,13,56,15,2,8,117,0
0,281,6,0,0,1,5,93,0,0,0,1,100.0,3,4,0,8,3,2.086,0,1,9,32,0,15,46,36,7,9,117,0
0,203,6,0,0,2,1,139,0,0,0,0,1.0,3,4,0,1,3,1.689,0,0,31,32,0,12,48,58,11,10,117,0
0,333,6,0,0,1,5,139,0,0,0,1,1.0,2,4,0,1,3,3.994,0,1,31,32,0,10,29,38,18,4,79,0
0,107,7,1,1,1,8,141,0,1,0,0,64.0,3,4,0,4,1,2.025,3,1,9,32,0,18,33,42,2,5,117,0
0,9,7,1,0,2,8,139,0,1,0,0,1.0,2,4,0,1,1,4.543,0,0,31,32,0,16,56,6,27,8,117,0
0,184,9,0,0,1,8,51,0,0,0,0,1.0,3,4,1,2,3,2.033,3,1,14,27,0,2,25,47,14,4,79,0
0,277,7,5,2,0,6,79,0,1,5,0,100.0,3,0,1,6,1,5.363,0,0,31,32,1,17,54,19,20,10,34,0
0,326,10,0,1,1,5,68,0,0,0,1,1.0,3,4,0,2,3,3.57,0,1,16,21,1,2,49,32,7,9,94,0
0,406,2,0,0,1,8,138,0,0,0,1,70.0,3,4,0,2,3,2.371,0,1,14,10,0,12,35,15,2,11,117,0
0,258,3,0,0,1,3,25,0,0,0,0,1.0,3,4,0,3,3,1.539,3,1,9,13,0,13,53,47,2,2,143,0
0,240,2,0,0,1,8,61,0,0,0,1,36.0,3,4,0,3,3,3.23,0,1,9,18,0,10,38,3,6,10,79,0
3,279,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,2,3,2.572,3,1,9,14,0,19,23,22,29,6,94,0
0,234,7,3,0,2,5,139,0,1,0,0,89.0,3,4,0,1,1,1.434,0,1,31,32,2,16,34,42,4,9,117,0
0,240,2,0,0,1,8,118,0,0,0,0,48.0,3,4,0,3,3,3.127,3,1,9,21,0,3,9,40,6,8,35,0
0,196,7,4,0,0,1,139,0,1,0,0,100.0,2,0,0,1,1,2.256,3,0,31,32,0,11,22,39,24,9,143,0
0,184,7,5,2,2,6,53,0,1,5,0,1.0,3,0,0,6,1,5.85,0,0,31,32,1,18,51,35,24,1,94,0
0,208,6,0,0,1,3,126,0,0,0,0,1.0,3,4,0,2,3,0.845,0,1,9,21,1,17,16,17,10,4,34,0
3,251,6,0,0,0,2,139,0,0,0,1,1.0,3,4,0,8,3,3.307,0,1,31,32,0,22,47,30,13,8,79,0
0,295,7,5,2,2,6,139,0,1,5,0,100.0,3,0,0,6,1,2.773,0,0,31,32,1,14,47,8,26,10,117,0
0,309,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,1,3,3.395,0,1,31,32,0,8,21,46,8,10,143,0
3,251,6,0,0,1,3,139,0,0,7,1,1.0,3,4,0,8,3,2.795,0,1,9,32,1,16,24,35,10,2,34,0
0,240,6,0,0,1,3,7,0,0,0,0,1.0,3,4,0,3,3,3.014,0,1,10,14,0,11,52,14,8,6,117,0
3,251,7,5,2,2,0,139,0,1,5,0,1.0,3,0,0,6,1,1.539,0,1,31,32,1,18,15,21,14,2,34,0
0,347,6,0,0,1,4,139,0,0,0,1,42.0,3,4,0,8,3,4.336,0,1,9,32,0,15,53,52,10,4,117,0
3,191,7,5,2,2,6,139,0,1,5,0,1.0,3,4,1,6,1,5.098,0,0,31,32,1,2,6,45,17,2,94,0
0,198,7,4,3,2,1,139,0,1,0,0,1.0,2,4,0,1,1,7.348,0,0,31,32,0,11,23,9,13,6,143,0
0,261,7,4,2,1,8,17,0,1,5,0,100.0,3,4,0,6,1,2.543,0,0,31,32,2,17,7,24,28,10,117,0
0,294,7,4,2,1,7,62,0,1,5,0,100.0,3,4,0,3,1,5.844,3,0,31,32,1,2,7,44,4,5,117,0
0,438,6,0,0,1,3,138,0,0,0,0,1.0,3,4,0,2,3,2.258,0,1,14,25,0,13,13,7,16,4,94,0
0,214,7,3,0,0,6,139,0,1,0,0,100.0,2,4,0,1,1,0.987,0,0,31,32,0,13,28,55,22,4,143,0
0,250,7,4,2,2,0,139,0,1,5,0,100.0,3,0,0,6,1,2.771,0,0,31,32,1,22,8,25,15,11,79,0
0,250,3,0,0,1,8,139,0,0,0,1,1.0,3,4,0,2,3,4.34,0,1,9,25,0,22,34,18,0,5,79,0
3,422,7,1,0,0,6,139,0,1,0,0,100.0,3,4,0,1,1,6.945,0,0,31,32,0,21,30,59,1,11,94,0
0,263,6,0,0,1,3,25,0,0,0,0,1.0,3,4,0,2,3,4.098,0,1,9,21,1,20,0,19,10,5,117,0
0,240,2,0,0,1,8,139,0,0,0,1,100.0,3,4,0,3,3,2.16,0,1,9,14,0,21,3,11,1,11,94,0
0,281,2,0,0,1,8,139,0,0,0,1,1.0,3,4,0,8,3,1.954,0,1,9,32,0,5,6,11,19,5,94,0
0,233,6,0,0,1,4,68,0,0,0,0,1.0,3,4,0,2,3,3.043,3,1,9,25,0,12,1,11,5,3,117,0
0,281,7,4,0,2,0,139,0,1,0,0,41.0,3,4,0,1,1,1.75,0,0,31,32,0,16,31,19,15,3,79,0
0,258,8,5,1,1,3,68,0,1,5,0,1.0,3,4,0,2,4,2.496,0,1,9,32,1,5,13,7,24,11,117,0
0,279,6,0,0,1,5,139,0,0,0,1,1.0,3,4,0,2,3,0.968,0,1,9,25,1,19,39,15,28,8,34,0
0,194,8,5,2,2,0,7,0,1,5,0,1.0,3,0,0,6,4,3.732,3,0,31,32,1,8,31,11,26,8,117,0
0,240,6,0,0,1,3,138,0,0,0,0,1.0,3,4,0,2,3,3.604,0,1,9,21,0,12,1,32,30,6,94,0
0,245,2,0,0,1,3,93,0,0,0,0,1.0,3,4,0,3,3,3.148,0,1,16,14,0,8,13,29,6,1,34,0
0,240,6,0,0,1,3,68,0,0,0,0,1.0,3,4,0,3,3,3.742,0,1,14,21,0,4,41,52,1,8,117,0
3,279,2,0,0,2,7,139,0,0,0,1,44.0,3,4,0,2,3,2.514,0,1,9,10,0,12,29,53,20,11,34,0
0,264,6,0,0,2,4,64,0,0,0,0,1.0,3,4,0,2,3,4.387,3,1,9,16,1,12,6,36,23,2,94,0
0,206,6,0,0,1,8,123,0,0,0,0,60.0,3,4,0,2,3,1.6045,0,1,16,21,0,4,44,15,27,9,94,0
0,333,10,0,1,1,6,135,3,0,0,1,1.0,3,4,0,2,4,5.965,0,0,31,10,0,3,7,29,5,6,117,0
0,336,9,0,0,2,6,64,0,0,0,0,1.0,3,4,1,2,3,1.773,3,0,31,25,0,16,16,27,7,9,79,0
0,279,6,0,0,1,3,98,0,0,0,0,1.0,3,4,0,3,3,4.145,0,1,9,25,0,22,37,33,15,2,94,0
0,258,6,0,1,1,3,25,3,0,0,0,1.0,3,4,0,2,4,4.28,3,1,9,25,2,1,32,42,9,6,117,0
0,244,6,0,0,1,8,17,0,0,0,0,1.0,3,4,0,2,3,2.428,0,1,9,25,0,10,1,55,9,7,79,0
0,249,7,4,2,2,1,139,0,1,5,0,1.0,3,0,0,6,1,6.266,0,0,31,32,1,14,14,23,2,10,143,0
0,234,7,4,2,1,6,112,0,1,5,1,100.0,3,4,0,6,1,1.214,0,0,31,32,1,17,2,47,7,7,79,0
0,281,2,0,0,1,5,139,0,0,0,0,1.0,3,4,0,2,3,1.798,0,1,9,32,0,16,23,38,29,2,79,0
3,198,7,5,2,2,6,139,0,1,5,0,100.0,2,4,0,6,1,2.172,0,0,31,32,1,7,5,56,0,6,117,0
0,244,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,2,3,3.006,3,1,9,21,0,23,16,19,18,5,79,0
0,233,1,0,0,1,3,51,3,0,0,0,1.0,3,4,1,2,2,4.242,3,1,9,18,0,12,38,1,18,11,94,0
0,264,7,2,0,1,3,139,0,1,0,0,100.0,2,4,0,1,1,3.002,0,1,31,32,0,10,14,34,21,7,143,0
3,251,6,0,0,1,2,139,0,0,0,0,100.0,3,4,0,8,3,3.11,0,1,9,32,1,12,40,52,15,4,79,0
0,206,6,0,0,1,5,139,0,0,0,1,32.0,3,4,0,2,3,0.791,0,1,9,21,1,14,13,25,21,2,117,0
0,327,8,0,1,1,3,106,0,0,0,0,1.0,3,2,0,2,3,4.074,0,0,16,21,1,4,13,50,23,5,117,0
0,326,10,0,1,1,5,123,1,0,0,1,1.0,3,4,0,2,0,4.418,0,1,9,20,0,15,15,15,0,9,117,0
0,298,9,0,0,1,3,93,0,0,0,0,1.0,3,4,0,2,3,1.288,3,1,9,25,0,9,23,12,29,4,35,0
0,433,3,0,3,1,3,7,0,0,0,0,1.0,3,4,0,7,3,2.408,3,1,9,14,0,20,53,33,19,11,79,0
0,301,7,2,3,2,6,139,0,1,0,0,100.0,2,4,0,1,1,5.215,0,0,31,32,0,2,17,19,18,11,143,0
0,258,6,0,0,1,3,93,0,0,0,0,1.0,3,4,1,3,3,2.475,0,0,9,14,0,9,37,46,15,2,94,0
0,184,6,0,0,0,6,139,0,0,2,0,100.0,3,0,0,8,3,5.082,0,0,31,32,1,9,14,47,21,9,35,0
0,240,6,0,0,1,5,17,0,0,0,0,35.0,3,4,0,2,3,3.521,0,1,23,10,0,16,4,35,23,10,79,0
3,279,6,0,0,1,5,139,0,0,0,1,59.0,3,4,0,1,3,1.884,0,1,31,32,0,16,34,55,22,11,79,0
0,264,7,4,0,0,0,139,0,1,0,0,1.0,3,4,0,1,1,2.611,3,0,31,32,0,13,48,39,14,3,117,0
3,204,7,4,3,0,6,139,0,1,0,0,1.0,2,4,0,1,1,6.6,0,0,31,32,0,9,34,47,2,4,143,0
0,245,6,0,2,2,7,7,0,0,0,0,1.0,3,4,0,8,3,0.8633,0,1,10,32,0,21,21,9,25,1,79,0
0,245,6,0,0,1,8,106,0,0,0,0,1.0,3,4,0,2,3,1.398,3,1,16,21,0,8,48,11,14,1,79,0
3,251,6,0,0,1,5,139,0,0,7,1,48.0,3,4,0,2,3,5.45,0,1,9,10,1,9,39,5,0,9,79,0
0,393,6,0,0,1,8,139,0,0,0,1,1.0,3,4,0,2,3,4.094,0,1,9,21,0,8,38,5,25,5,117,0
0,187,7,1,0,0,6,139,0,1,0,1,100.0,3,4,0,1,1,2.172,0,0,31,32,0,22,21,36,5,1,79,0
0,250,2,0,0,1,3,17,0,0,0,0,1.0,3,4,0,2,3,3.174,0,1,9,18,0,15,20,9,18,5,79,0
0,240,2,0,0,2,3,7,0,0,0,0,1.0,3,4,0,3,3,2.178,0,1,9,14,0,4,31,57,7,11,79,0
0,184,7,4,2,2,0,17,0,1,5,0,100.0,3,0,0,4,1,2.498,3,0,31,32,1,10,8,36,23,7,79,0
0,248,2,0,3,2,7,68,0,0,0,0,1.0,3,4,0,2,3,1.228,0,0,31,27,2,17,10,24,13,1,117,0
0,326,10,0,0,1,3,135,1,0,1,0,1.0,3,4,0,2,0,2.371,0,1,14,30,1,6,12,37,23,9,35,0
0,279,6,0,0,1,3,139,0,0,0,0,1.0,3,4,0,2,3,3.305,0,1,9,10,0,5,22,2,17,5,79,0
0,347,6,0,0,1,3,139,2,0,0,0,1.0,3,4,0,2,2,3.318,0,1,9,25,0,12,51,17,9,4,94,0
3,251,6,0,0,1,8,25,0,0,2,0,6.0,3,4,0,8,3,0.6987,0,1,9,32,0,22,10,58,8,6,35,0
0,250,2,0,0,1,3,54,0,0,0,0,1.0,3,4,0,3,3,2.936,0,1,14,14,0,3,14,9,12,1,34,0
0,226,7,1,0,2,5,139,0,1,0,0,1.0,3,4,0,1,1,8.47,0,0,31,32,0,8,48,15,26,3,117,0
0,326,10,0,0,1,5,68,0,0,1,1,100.0,3,4,1,2,3,6.336,0,1,9,20,1,22,52,18,17,10,94,0
0,251,6,0,0,1,9,139,0,0,0,1,2.0,3,4,0,2,3,3.932,0,1,9,10,0,19,32,59,6,5,94,0
0,281,6,0,0,1,3,131,0,0,0,1,1.0,3,4,0,8,3,2.23,0,1,9,32,0,12,11,36,25,5,79,0
0,433,3,0,0,0,0,7,0,0,0,0,1.0,3,4,0,3,3,4.223,2,1,9,8,0,4,17,33,20,7,94,0
0,240,6,0,0,1,3,17,0,0,0,0,10.0,3,4,0,2,3,3.402,3,1,23,21,0,12,14,32,17,7,79,0
0,373,6,0,0,1,3,68,0,0,0,0,20.0,3,4,0,3,3,0.916,3,1,9,21,0,11,26,4,17,11,79,0
0,281,10,0,0,1,5,135,1,0,1,1,1.0,3,4,0,8,0,0.04486,0,1,9,32,1,9,11,36,11,4,35,0
0,281,2,0,0,1,3,139,0,0,0,1,40.0,3,4,0,2,3,3.389,0,1,9,32,0,12,30,18,21,10,79,0
0,250,7,1,0,1,8,139,0,1,0,1,1.0,3,4,1,1,1,7.453,0,0,31,32,0,0,23,50,24,4,117,0
0,406,6,0,0,1,3,120,0,0,0,0,1.0,3,4,0,2,3,5.91,0,1,9,14,0,14,3,31,0,11,94,0
0,240,6,0,0,1,8,125,0,0,0,0,1.0,3,4,1,2,3,2.26,3,1,14,25,0,2,56,15,5,6,79,0
0,8,7,5,2,0,6,139,0,1,5,0,100.0,2,0,0,6,1,0.9893,0,0,31,32,1,10,35,21,2,8,94,0
0,277,7,5,2,0,6,139,0,1,5,0,100.0,3,0,1,6,1,3.58,0,0,31,32,1,8,5,11,9,2,94,0
0,250,7,5,2,2,1,64,0,1,5,0,1.0,3,2,0,6,1,1.36,3,0,12,32,0,21,41,19,23,5,35,0
0,236,6,0,0,2,6,139,0,0,0,0,52.0,3,4,0,2,3,5.082,0,0,9,25,1,18,40,18,26,7,94,0
3,251,6,0,0,1,2,139,0,0,2,1,100.0,3,4,0,8,3,3.436,0,1,9,32,1,17,57,8,17,8,35,0
0,15,6,0,0,1,3,138,0,0,0,0,1.0,3,4,1,1,3,7.96,0,1,31,32,0,5,27,27,22,9,117,0
0,202,7,5,1,0,6,139,0,1,5,0,100.0,2,4,0,6,1,3.572,0,0,31,32,0,6,14,33,21,3,117,0
3,274,8,4,0,0,6,7,0,1,0,0,1.0,3,4,0,3,1,2.61,0,0,31,32,0,12,3,22,25,10,34,0
0,315,6,0,0,1,3,7,0,0,0,0,1.0,3,4,0,3,3,3.854,0,1,9,21,0,1,23,55,21,2,117,0
0,250,6,0,0,1,0,107,0,0,0,0,71.0,3,4,0,10,3,3.771,0,0,9,10,0,11,16,6,6,8,94,0
0,279,6,2,0,1,3,135,0,1,0,0,100.0,3,4,0,1,1,6.14,0,1,31,32,0,10,8,30,0,6,35,0
0,182,2,0,0,1,8,17,0,0,0,0,1.0,3,4,0,2,3,2.006,3,1,12,21,0,3,13,31,2,11,35,0
0,306,7,3,2,2,6,66,0,1,0,0,65.0,3,4,0,1,1,6.562,0,0,31,32,2,21,46,50,3,5,79,0
0,250,6,0,0,1,3,123,0,0,0,0,1.0,3,4,0,2,3,3.791,0,1,26,21,0,23,35,10,2,8,26,0
0,281,2,0,0,1,3,93,0,0,0,0,1.0,3,4,0,3,3,5.367,0,1,8,14,0,17,21,22,8,10,79,0
0,326,10,0,0,1,5,123,1,0,0,0,1.0,3,4,1,2,0,4.27,0,1,16,20,1,6,23,32,17,9,94,0
0,289,6,0,0,1,8,17,0,0,0,0,58.0,3,4,0,2,3,2.396,3,1,23,18,0,13,45,9,0,6,79,0
0,233,6,0,0,1,8,68,0,0,0,0,1.0,3,4,0,2,3,2.21,3,1,14,25,0,11,52,17,16,2,94,0
3,396,7,5,2,0,6,17,0,1,5,0,100.0,3,0,0,6,1,4.88,0,0,31,32,1,16,29,45,0,4,94,0
0,280,6,0,0,1,3,17,0,0,0,0,1.0,3,4,0,2,3,3.318,3,1,9,14,0,10,10,25,29,9,35,0
0,280,2,0,0,1,3,139,0,0,0,0,1.0,3,4,0,3,3,3.299,0,1,9,14,0,2,42,44,21,5,79,0
3,281,6,0,0,1,3,139,0,0,0,0,21.0,3,4,0,8,3,2.438,3,1,9,32,0,18,53,21,7,4,35,0
0,324,7,4,2,0,5,139,0,1,5,0,100.0,3,0,0,6,1,3.613,0,1,31,32,1,14,54,5,0,9,143,0
0,333,6,0,0,1,8,135,0,0,0,0,1.0,4,4,0,1,3,3.113,0,1,9,32,0,6,13,29,10,1,35,0
0,240,6,0,0,1,3,106,0,0,0,0,1.0,3,4,0,3,3,1.924,0,1,14,25,0,6,0,47,6,5,79,0
3,250,2,0,0,1,3,139,0,0,2,0,1.0,3,4,0,8,3,0.6655,0,1,9,32,0,6,11,45,11,5,79,0
0,404,6,0,0,1,5,132,0,0,0,1,100.0,3,4,0,2,3,3.982,0,1,9,10,1,2,40,15,0,6,117,0
0,131,2,0,0,1,5,139,0,0,0,1,1.0,2,4,0,8,3,2.805,0,1,31,32,0,16,17,20,11,4,143,0
0,198,6,5,0,2,6,64,0,0,0,0,100.0,3,2,0,4,3,3.746,0,0,31,32,2,4,44,8,26,2,117,0
0,306,7,5,2,0,6,79,0,1,5,0,100.0,3,3,1,6,1,4.832,0,0,31,32,1,22,17,56,15,7,79,0
3,251,6,0,0,1,8,139,0,0,2,0,100.0,3,4,0,8,3,0.684,0,1,9,32,1,3,29,37,13,8,34,0
0,279,6,0,0,1,5,135,0,0,0,1,94.0,4,4,0,8,3,1.026,0,0,31,32,0,7,57,24,9,8,79,0
0,333,5,1,0,1,8,135,4,1,0,0,5.0,4,4,0,1,2,5.02,3,1,31,32,0,0,56,36,24,5,79,0
0,240,6,0,0,1,3,36,0,0,0,0,1.0,3,4,0,2,3,3.64,0,1,14,25,0,9,55,57,21,11,79,0
3,393,2,0,0,1,3,139,0,0,0,1,18.0,3,4,0,1,3,3.867,0,0,31,32,0,10,16,10,10,5,94,0
3,251,6,0,0,1,5,139,0,0,2,1,100.0,3,4,0,8,3,0.7163,0,1,9,32,1,17,12,27,15,1,34,0
0,240,6,0,0,1,3,118,0,0,0,0,1.0,3,4,0,2,3,3.121,3,1,9,25,0,11,0,11,21,11,94,0
0,281,6,0,0,1,8,139,0,0,0,1,1.0,3,4,0,2,3,3.197,1,1,9,25,0,6,51,43,6,5,94,0
0,281,7,4,1,2,0,138,0,1,5,0,1.0,3,4,1,6,1,4.54,0,1,9,32,1,2,6,11,2,8,117,0
0,233,3,0,0,0,0,139,0,0,0,0,100.0,3,4,1,1,3,4.99,3,0,31,32,0,18,48,19,16,7,117,0
0,440,6,0,0,2,2,139,0,0,0,0,100.0,3,4,0,8,3,3.082,0,1,5,32,1,13,23,39,26,9,35,0
0,279,6,0,0,1,3,17,0,0,0,0,1.0,3,4,0,2,3,3.287,0,1,14,10,0,14,12,16,27,7,79,0
0,367,7,4,0,0,2,139,0,1,0,1,100.0,3,0,1,1,1,6.01,0,0,31,32,2,7,19,47,14,2,79,0
0,240,1,0,0,2,5,138,3,0,0,0,1.0,3,4,0,2,2,0.3586,0,1,9,10,0,13,38,43,21,6,94,0
3,376,6,0,0,0,0,139,0,0,0,0,100.0,3,4,0,5,3,6.426,3,0,31,32,0,15,41,25,9,2,117,0
0,294,2,0,0,1,3,71,0,0,0,0,1.0,3,4,0,2,3,2.096,3,1,14,18,0,7,5,17,10,1,79,0
0,199,7,0,0,2,6,20,0,0,7,0,1.0,3,0,0,6,3,2.406,0,0,31,25,1,3,44,56,16,1,79,0
0,396,7,5,2,0,6,139,0,1,5,0,100.0,3,0,0,6,1,2.752,0,0,31,32,1,12,40,25,15,4,79,0
0,351,7,5,2,2,6,79,0,1,5,0,1.0,3,0,1,6,1,0.5312,0,0,31,32,1,6,4,45,0,10,79,0
0,309,7,1,2,2,6,139,0,1,0,0,100.0,3,0,0,6,1,2.336,0,0,31,32,2,18,30,27,7,3,35,0
0,347,6,0,0,1,3,93,0,0,0,0,1.0,3,4,0,2,3,3.469,1,1,8,8,0,1,37,50,27,5,94,0
0,245,6,0,0,1,3,68,0,0,0,0,1.0,3,4,0,2,3,3.125,0,1,14,25,0,0,23,8,3,11,79,0
0,263,6,0,0,1,8,123,2,0,0,1,1.0,3,4,0,2,2,3.684,0,1,16,20,0,3,56,7,26,8,79,0
0,300,7,5,2,2,2,17,0,1,5,0,-0.0,3,0,0,6,1,0.8438,0,1,31,32,1,15,57,7,24,7,79,0
0,288,6,0,0,1,5,139,0,0,0,1,1.0,3,4,0,8,3,3.97,0,1,9,32,0,12,10,46,25,2,94,0
0,182,6,0,0,1,8,68,0,0,0,0,1.0,3,4,0,3,3,2.168,0,1,9,25,0,11,3,14,14,8,94,0
